date,price
2024-03-01,-1.0
2024-02-29,-0.20000000000000284
2024-02-28,-0.03999999999999915
2024-02-27,0.9199999999999946
2024-02-26,0.6799999999999997
2024-02-23,0.4399999999999977
2024-02-22,0.5999999999999943
2024-02-21,0.4399999999999977
2024-02-20,-0.35999999999999943
2024-02-19,-0.5200000000000031
2024-02-16,0.03999999999999915
2024-02-15,-0.12000000000000455
2024-02-14,-0.44000000000000483
2024-02-13,-0.44000000000000483
2024-02-12,0.11999999999999744
2024-02-09,0.19999999999999574
2024-02-08,0.5999999999999943
2024-02-07,1.0
2024-02-06,0.8399999999999963
2024-02-05,0.27999999999999403
2024-02-02,0.27999999999999403
2024-02-01,0.6799999999999997
