Date,Adj Close
2024-02-01,12.100000381469727
2024-02-02,11.789999961853027
2024-02-05,11.720000267028809
2024-02-06,11.899999618530273
2024-02-07,11.979999542236328
2024-02-08,11.90999984741211
2024-02-09,11.869999885559082
2024-02-12,11.899999618530273
2024-02-13,11.649999618530273
2024-02-14,11.65999984741211
2024-02-15,11.829999923706055
2024-02-16,11.859999656677246
2024-02-20,11.619999885559082
2024-02-21,11.90999984741211
2024-02-22,11.9399995803833
2024-02-23,11.800000190734863
2024-02-26,11.880000114440918
2024-02-27,11.979999542236328
2024-02-28,11.75
2024-02-29,11.699999809265137
